author,date,text,url
,"enopdSrostmlfu11520603a5gs390muhc1i00ta76r7 m7901ucc l,120:6",علاش النيابة العمومية ما تدخلش بعد الاتهامات الخطيرة الي صرحت بيها ريم البنا في الاعلام مع اصرارها على وجود اثباتات عندها فيما لا يدعو للشك في صحة الجريمة.قبل المتهم ل… En voir plus,https://www.facebook.com/ESTunis?__cft__[0]=AZX1B6TC1Jvw2gVfDsw0ldNuiSbiby2h282b_edmqk13Z8GDbbuKhATUfNtvR_kVJISGoKoJNBj6auK8HV0AECMZgMrVXuru8Fkn-hDPuWKnUciA8urRciOe-Ziu_jylcD9-9uFFeS0e2FrLDZo13KpQsLEvxh8QuzxOiQmwqxapAH78tXsw-K_Kyc6RMpmcff6je08ajCAFP8EUrbCaIQ0k&__tn__=%3C%3C%2CP-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
,"Spnetosodr3f89:2054181t 1aamhgcm1ui9r8227 5tl2502a14icasuim,",No text found,https://www.facebook.com/MAGTV.tn?__cft__[0]=AZUPz7_IJ8Gcu9dHYvllTidaJUpb-pBr-NQQGdScHBltHf13ARbxTxLeltUR-_pruDO8memqjKun7ZWJ8CfOc11GjHrCt0G8dBZcNxSSIMn0Q51OQphtuu_Y982YjbkzkAGv1JEyYxgmNfsbP-22I5vHAEqH_W6-Po_EwxMlGfW57AlyazUrLQ58GbZvNhDxSH_InYZXdtX_tFJCRUh5IZNy&__tn__=-]C%2CP-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
Compte vérifié,"Spnetosodr3f89:2054181t 1arvhgcm6ui9i 237a5tl1522a14icaluim,","Léonie, 10 ans, doit désormais faire sa dictée à la maison. Le 21 mars, la famille apprend par un courrier que l'élève de cm2 est renvoyée de son établissement privé à … En voir plus",https://www.facebook.com/stories/107160094959322/UzpfSVNDOjY2MDAyMjU4MzMwMDc1NA==/?view_single=false&__cft__[0]=AZVuumsvHBYxTLBxJAV06JUpO0PtkVLW__06xYVBvvhe77eoALpTCdGKWVISJYw4vC2JY3jMcNwbdzKdnPeg19mZ5-7xAGCyjUBhMQ6Yof3sjSZXDUjsnK_u6hC4WFL_9DbGRnVGOg1DsJRcH3sdL-BNR1gkom5qqSq4xax2RniTxBgkOpuJJFZscqD0ZFJ1ErFsmT32qRutAamCf-AqXSD5&__tn__=%3C%3C%2CP-R
Compte vérifié,16 déc,No text found,https://www.facebook.com/reel/4364582750435137/?s=single_unit&__cft__[0]=AZW5L-xUxn1f5LTUyoiH0YRsSEzH_RBOfe_EOHA8Hc8QM_efaQC1jM6oHt7Ca8XsNIVI6r4ml26jv-Lu6v1oUbHjcSF0gB3Jq4kdob8Zu_ESsKho1ZcD2C6kiUtWVQFw3VEqp-j__GFJCSt7bbAxC2JtuugfTgzMiXwBqHAlX0IMbM1dNp_54UKacQL-bd5lFPxkzrUvgstbdjenLm84WIwy&__tn__=H-R
No author found,No date found,No text found,No URL found
Compte vérifié,drtnoeospSt53li496a0025ht9c9mi1vr1t75g ij950in1h0ealcgca051m,"L'univers de Buffy contre les vampires a récemment été éclaboussé par des révélations choquantes.  Des actrices, comme @charismacarpenter et @michelletrachtenberg (Daw… En voir plus",https://www.facebook.com/stories/101585905346682/UzpfSVNDOjExNzE0MTcxMzgwNjU3OTM=/?view_single=false&__cft__[0]=AZU3qUgZxTHaHUJIQXpXJ3uS2m6aNX8QCr6xiMOo2tiTPIkWX3Aw_edNUyaqBPfYqJ7YgJqcBr6cYVEvWX61IcgnIV-7YmKTfUHDrTGIWxUVJmFsfkCSdufUSjRtuH2SuIrleC2CKXgbVijpLpGaMmmFMLXs8DsANFMgccS7lmFR64D5YFAXvXFefKPv5CbsBnse_jwdqZyWYGAhpOr9IpRs&__tn__=%3C%3C%2CP-R
